"booking_status","booking_type","previous_cancellations","previous_non_canceled_bookings","adults","children","weekend_nights","week_nights","room_price","special_requests","meal_plan","reserved_parking_space","room_type","lead_time_days","arrival_occupancy_season"
"not_canceled","online",0,0,2,0,0,2,87.78,2,"american",1,"suite",12,"peak"
"canceled","online",0,0,2,0,1,1,126.9,0,"continental",0,"suite",89,"moderate"
"canceled","online",0,0,2,0,0,1,85.5,0,"american",0,"suite",139,"peak"
"canceled","online",0,0,2,1,1,1,164.25,1,"modified_american",0,"suite",188,"peak"
"canceled","online",0,0,2,0,1,2,75,0,"continental",0,"suite",418,"moderate"
"not_canceled","mobile_app",0,0,2,0,0,1,120,0,"continental",0,"suite",56,"peak"
"not_canceled","travel_agency",0,0,2,0,0,2,128,1,"american",1,"suite",1,"moderate"
"not_canceled","online",0,0,1,0,0,1,152,2,"continental",0,"suite",14,"low"
"not_canceled","online",0,1,2,0,1,1,93.6,1,"continental",1,"suite",64,"low"
"not_canceled","corporate_partner",0,0,2,0,0,2,86,0,"continental",0,"suite",99,"low"
"not_canceled","online",0,0,1,0,0,1,120,1,"american",1,"suite",1,"moderate"
"canceled","online",0,0,2,0,0,3,161.33,1,"continental",0,"studio",38,"moderate"
"not_canceled","mobile_app",1,0,2,0,1,2,93.8,0,"continental",0,"studio",11,"low"
"not_canceled","corporate_partner",0,1,1,0,0,3,104,0,"continental",1,"suite",5,"peak"
"canceled","online",0,0,2,0,1,2,109.8,0,"continental",0,"studio",189,"moderate"
"not_canceled","mobile_app",0,0,2,1,0,3,98.5,1,"continental",0,"suite",12,"moderate"
"not_canceled","online",0,0,2,0,0,3,89.3,0,"continental",0,"suite",37,"low"
"canceled","online",0,0,2,0,0,1,89.25,0,"continental",1,"suite",79,"moderate"
"canceled","online",0,0,2,0,0,2,79,0,"american",0,"suite",15,"low"
"not_canceled","mobile_app",0,0,2,0,1,2,76.67,0,"continental",1,"suite",256,"moderate"
"not_canceled","online",0,0,2,2,2,1,99.45,2,"continental",0,"executive_suite",83,"moderate"
"not_canceled","corporate_partner",0,0,1,0,0,1,81,0,"continental",0,"suite",15,"low"
"not_canceled","mobile_app",0,0,2,0,2,1,84.8,0,"continental",0,"suite",0,"peak"
"canceled","online",0,0,2,0,0,1,166,1,"continental",0,"studio",19,"peak"
"canceled","online",0,0,2,0,1,2,118.8,0,"continental",0,"studio",147,"peak"
"not_canceled","mobile_app",1,0,2,0,0,3,90,0,"continental",1,"suite",19,"moderate"
"not_canceled","corporate_partner",0,1,1,0,1,1,79,0,"continental",0,"suite",0,"moderate"
"not_canceled","online",0,0,2,0,0,1,81,0,"american",0,"suite",0,"peak"
"not_canceled","online",0,0,1,0,0,2,111.6,2,"american",0,"suite",57,"moderate"
"not_canceled","corporate_partner",2,4,2,0,0,1,77,0,"continental",0,"suite",2,"peak"
"canceled","mobile_app",0,0,2,0,0,2,115,1,"modified_american",0,"suite",320,"peak"
"not_canceled","online",0,0,2,0,0,3,76.08,1,"continental",0,"suite",30,"low"
"not_canceled","corporate_partner",0,0,2,0,0,2,81.5,0,"continental",0,"suite",31,"low"
"not_canceled","online",0,0,1,0,1,1,128,3,"continental",0,"suite",4,"peak"
"canceled","mobile_app",0,0,2,0,2,2,75,0,"continental",0,"suite",60,"moderate"
"canceled","online",0,0,2,0,0,4,83.73,0,"continental",0,"suite",54,"moderate"
"not_canceled","corporate_partner",0,0,1,0,0,1,109.65,0,"continental",0,"suite",6,"low"
"not_canceled","online",0,0,2,0,1,3,88.8,1,"continental",0,"studio",16,"moderate"
"not_canceled","corporate_partner",0,0,1,0,0,3,90,0,"continental",1,"studio",11,"peak"
"not_canceled","online",0,0,2,0,2,2,126,1,"continental",0,"suite",7,"moderate"
"not_canceled","mobile_app",0,0,2,0,0,4,140,1,"modified_american",0,"suite",100,"moderate"
"not_canceled","mobile_app",0,0,2,0,0,4,80.75,1,"continental",0,"suite",222,"moderate"
"not_canceled","online",0,0,2,0,1,3,90.56,1,"continental",0,"suite",71,"moderate"
